# Turn,  Tree X, Tree Y, State
0,1140,599,1
0,1138,596,1
0,1140,597,1
0,1140,598,1
0,1141,598,1
0,1143,596,1
1,1138,600,1
1,1138,601,1
1,1139,601,1
1,1139,602,1
1,1140,596,1
1,1141,596,1
1,1141,597,1
1,1141,599,1
1,1143,597,1
1,1135,596,1
1,1135,597,1
1,1137,598,1
1,1138,593,1
1,1139,593,1
1,1141,594,1
1,1137,596,1
1,1137,599,1
1,1140,594,1
1,1140,595,1
1,1141,595,1
1,1141,600,1
1,1142,594,1
1,1142,596,1
1,1143,599,1
1,1138,597,1
1,1138,598,1
1,1139,599,1
1,1142,595,1
1,1143,595,1
1,1143,601,1
1,1144,597,1
1,1144,598,1
1,1143,594,1
1,1144,593,1
1,1144,594,1
1,1144,596,1
2,1142,597,1
2,1135,598,1
2,1135,599,1
2,1136,599,1
2,1137,597,1
2,1138,595,1
2,1141,593,1
2,1140,600,1
2,1140,601,1
2,1142,598,1
2,1142,600,1
2,1144,599,1
2,1140,599,1
2,1142,599,1
2,1143,593,1
2,1146,594,1
2,1135,601,1
2,1135,602,1
2,1137,601,1
2,1139,597,1
2,1139,598,1
2,1138,601,2
2,1135,603,1
2,1136,603,1
2,1137,603,1
2,1137,604,1
2,1137,605,1
2,1138,604,1
2,1138,605,1
2,1140,593,1
2,1138,594,1
2,1139,600,1
2,1144,595,1
2,1138,602,1
2,1140,602,1
2,1143,598,1
2,1145,595,1
2,1145,596,1
2,1146,595,1
2,1146,597,1
2,1146,598,1
2,1134,598,1
2,1135,594,1
2,1135,595,1
2,1136,594,1
2,1132,598,1
2,1132,599,1
2,1133,599,1
2,1134,599,1
2,1134,600,1
2,1136,601,1
2,1137,595,1
2,1135,591,1
2,1138,590,1
2,1138,592,1
2,1139,591,1
2,1139,592,1
2,1140,590,1
2,1141,592,1
2,1140,591,1
2,1140,592,1
2,1142,590,1
2,1141,591,1
2,1142,592,1
2,1143,591,1
2,1143,592,1
2,1136,597,1
2,1137,594,1
2,1139,594,1
2,1136,600,1
2,1139,595,1
2,1142,591,1
2,1142,593,1
2,1139,596,1
2,1144,592,1
2,1140,603,1
2,1141,603,1
2,1143,600,1
2,1142,601,1
2,1146,599,1
2,1135,600,1
2,1136,598,1
2,1137,600,1
2,1137,602,1
2,1138,599,1
2,1141,602,1
2,1145,592,1
2,1145,593,1
2,1145,594,1
2,1142,603,1
2,1145,599,1
2,1146,601,1
2,1147,594,1
2,1141,601,1
2,1144,600,1
2,1145,598,1
2,1147,595,1
2,1147,596,1
2,1147,597,1
2,1145,591,1
2,1144,591,1
2,1146,591,1
2,1147,593,1
2,1146,593,1
2,1146,596,1
2,1144,596,2
2,1132,597,1
2,1132,600,1
2,1133,598,1
2,1133,600,1
3,1138,600,2
3,1141,605,1
3,1137,593,1
3,1145,597,1
3,1132,594,1
3,1133,595,1
3,1134,597,1
3,1136,595,1
3,1135,597,2
3,1137,592,1
3,1139,590,1
3,1136,596,1
3,1141,590,1
3,1134,601,1
3,1134,602,1
3,1136,602,1
3,1139,603,1
3,1142,602,1
3,1141,604,1
3,1145,600,1
3,1147,599,1
3,1144,590,1
3,1147,590,1
3,1132,596,1
3,1133,601,1
3,1132,601,1
3,1133,602,1
3,1134,596,1
3,1139,604,1
3,1145,601,1
3,1143,602,1
3,1142,599,2
3,1148,591,1
3,1149,591,1
3,1149,592,1
3,1132,603,1
3,1133,603,1
3,1133,604,1
3,1134,603,1
3,1134,604,1
3,1135,604,1
3,1132,604,1
3,1133,605,1
3,1133,606,1
3,1134,605,1
3,1135,605,1
3,1140,604,1
3,1135,607,1
3,1138,606,1
3,1138,607,1
3,1134,608,1
3,1136,607,1
3,1136,608,1
3,1135,606,1
3,1136,606,1
3,1140,605,1
3,1138,605,2
3,1137,606,1
3,1137,608,1
3,1139,608,1
3,1141,606,1
3,1136,604,1
3,1146,592,1
3,1148,592,1
3,1148,596,1
3,1148,594,1
3,1147,600,1
3,1148,595,1
3,1148,597,1
3,1148,598,1
3,1149,595,1
3,1149,596,1
3,1131,595,1
3,1131,597,1
3,1131,598,1
3,1131,600,1
3,1131,601,1
3,1133,596,1
3,1133,597,1
3,1134,595,1
3,1135,592,1
3,1136,592,1
3,1138,591,1
3,1136,593,1
